,State/Province,# of Listings,Most Recent Report,Last Posted,Link,place,geometry.type,geometry.coordinates,lat,long
37,Rhode Island,5,12-2011,11-2011,https://www.bfro.net/GDB/state_listing.asp?state=ri,Rhode Island,Point,"(-71.4774291, 41.5800945)",41.5800945,-71.4774291
38,South Carolina,59,11-2024,11-2024,https://www.bfro.net/GDB/state_listing.asp?state=sc,South Carolina,Point,"(-81.1637245, 33.836081)",33.836081,-81.1637245
39,South Dakota,19,6-2020,6-2019,https://www.bfro.net/GDB/state_listing.asp?state=sd,South Dakota,Point,"(-99.9018131, 43.9695148)",43.9695148,-99.9018131
40,Tennessee,108,12-2024,10-2024,https://www.bfro.net/GDB/state_listing.asp?state=tn,Tennessee,Point,"(-86.5804473, 35.5174913)",35.5174913,-86.5804473
41,Texas,259,10-2024,10-2024,https://www.bfro.net/GDB/state_listing.asp?state=tx,Texas,Point,"(-99.9018131, 31.9685988)",31.9685988,-99.9018131
42,Utah,74,1-2024,9-2022,https://www.bfro.net/GDB/state_listing.asp?state=ut,Utah,Point,"(-111.8939487, 40.7606608)",40.7606608,-111.8939487
43,Virginia,89,12-2024,11-2024,https://www.bfro.net/GDB/state_listing.asp?state=va,Virginia,Point,"(-78.6568942, 37.4315734)",37.4315734,-78.6568942
44,Vermont,11,11-2019,8-2019,https://www.bfro.net/GDB/state_listing.asp?state=vt,Vermont,Point,"(-72.57784149999999, 44.5588028)",44.5588028,-72.57784149999999
45,Washington,724,11-2024,10-2024,https://www.bfro.net/GDB/state_listing.asp?state=wa,Washington,Point,"(-77.0368707, 38.9071923)",38.9071923,-77.0368707
46,Wisconsin,108,9-2023,5-2023,https://www.bfro.net/GDB/state_listing.asp?state=wi,Wisconsin,Point,"(-88.7878678, 43.7844397)",43.7844397,-88.7878678
47,West Virginia,106,10-2022,7-2017,https://www.bfro.net/GDB/state_listing.asp?state=wv,West Virginia,Point,"(-80.4549026, 38.5976262)",38.5976262,-80.4549026
48,Wyoming,28,5-2010,3-2010,https://www.bfro.net/GDB/state_listing.asp?state=wy,Wyoming,Point,"(-107.2902839, 43.0759678)",43.0759678,-107.2902839
49,Alberta,43,3-2020,7-2018,https://www.bfro.net/GDB/show_county_reports.asp?state=ca-al,Alberta,Point,"(-116.5765035, 53.9332706)",53.9332706,-116.5765035
51,British Columbia,135,12-2020,12-2020,https://www.bfro.net/GDB/show_county_reports.asp?state=ca-bc,British Columbia,Point,"(-127.6476206, 53.7266683)",53.7266683,-127.6476206
53,Manitoba,31,8-2012,1-2011,https://www.bfro.net/GDB/show_county_reports.asp?state=ca-mn,Manitoba,Point,"(-98.81387629999999, 53.7608608)",53.7608608,-98.81387629999999
55,New Brunswick,8,12-2021,8-2021,https://www.bfro.net/GDB/show_county_reports.asp?state=ca-nb,New Brunswick,Point,"(-66.46191639999999, 46.5653163)",46.5653163,-66.46191639999999
57,Nova Scotia,3,11-2016,10-2015,https://www.bfro.net/GDB/show_county_reports.asp?state=ca-ns,Nova Scotia,Point,"(-63.5466822, 45.07784729999999)",45.07784729999999,-63.5466822
59,Ontario,68,8-2020,7-2020,https://www.bfro.net/GDB/show_county_reports.asp?state=ca-on,Ontario,Point,"(-85.3232139, 51.253775)",51.253775,-85.3232139
61,Quebec,4,4-2008,1-2007,https://www.bfro.net/GDB/show_county_reports.asp?state=ca-qu,Quebec,Point,"(-71.20745959999999, 46.8130816)",46.8130816,-71.20745959999999
63,Saskatchewan,7,10-2008,4-2006,https://www.bfro.net/GDB/show_county_reports.asp?state=ca-sk,Saskatchewan,Point,"(-106.4508639, 52.9399159)",52.9399159,-106.4508639
65,Yukon,5,5-2009,3-2009,https://www.bfro.net/GDB/show_county_reports.asp?state=ca-yu,Yukon,Point,"(-135, 64.2823274)",64.2823274,-135.0
85,Australia,1,6-2002,6-2002,https://www.bfro.net/GDB/show_county_reports.asp?state=int-au,Australia,Point,"(133.775136, -25.274398)",-25.274398,133.775136
87,China,11,1-2006,1-2006,https://www.bfro.net/GDB/show_county_reports.asp?state=int-cn,China,Point,"(104.195397, 35.86166)",35.86166,104.195397
89,Indonesia,3,11-2002,11-2002,https://www.bfro.net/GDB/show_county_reports.asp?state=int-id,Indonesia,Point,"(113.921327, -0.789275)",-0.789275,113.921327
91,Malaysia,36,12-2006,12-2006,https://www.bfro.net/GDB/show_county_reports.asp?state=int-my,Malaysia,Point,"(101.975766, 4.210484)",4.210484,101.975766
93,Himalayan Region,10,5-2008,5-2008,https://www.bfro.net/GDB/show_county_reports.asp?state=int-np,Himalayan Region,Point,"(83.9310039, 28.5983159)",28.5983159,83.9310039
95,Russia,5,5-1989,4-2015,https://www.bfro.net/GDB/show_county_reports.asp?state=int-ru,Russia,Point,"(105.318756, 61.52401)",61.52401,105.318756
