State/Province,# of Listings,Most Recent Report,Last Posted,Link
Australia,1,6-2002,6-2002,https://www.bfro.net/GDB/show_county_reports.asp?state=int-au
China,11,1-2006,1-2006,https://www.bfro.net/GDB/show_county_reports.asp?state=int-cn
Indonesia,3,11-2002,11-2002,https://www.bfro.net/GDB/show_county_reports.asp?state=int-id
Country/Region,# ofListings,MostRecentReport,LastPosted,
Malaysia,36,12-2006,12-2006,https://www.bfro.net/GDB/show_county_reports.asp?state=int-my
Himalayan Region,10,5-2008,5-2008,https://www.bfro.net/GDB/show_county_reports.asp?state=int-np
Russia,5,5-1989,4-2015,https://www.bfro.net/GDB/show_county_reports.asp?state=int-ru
Other Countries & Regions,6,11-2014,11-2011,https://www.bfro.net/GDB/show_county_reports.asp?state=int
Australia,1,6-2002,6-2002,https://www.bfro.net/GDB/show_county_reports.asp?state=int-au
China,11,1-2006,1-2006,https://www.bfro.net/GDB/show_county_reports.asp?state=int-cn
Indonesia,3,11-2002,11-2002,https://www.bfro.net/GDB/show_county_reports.asp?state=int-id
Malaysia,36,12-2006,12-2006,https://www.bfro.net/GDB/show_county_reports.asp?state=int-my
Himalayan Region,10,5-2008,5-2008,https://www.bfro.net/GDB/show_county_reports.asp?state=int-np
Russia,5,5-1989,4-2015,https://www.bfro.net/GDB/show_county_reports.asp?state=int-ru
Other Countries & Regions,6,11-2014,11-2011,https://www.bfro.net/GDB/show_county_reports.asp?state=int
