Counties,# of Listings,Most Recent Report,Last Posted,Link
Lauderdale,1,4-2008,9-2011,https://www.bfro.net/GDB/show_county_reports.asp?state=al&county=Lauderdale
Lawrence,,,,
Lee,3,1-2007,5-2007,https://www.bfro.net/GDB/show_county_reports.asp?state=al&county=Lee
Limestone,4,9-2006,10-2006,https://www.bfro.net/GDB/show_county_reports.asp?state=al&county=Limestone
Lowndes,1,4-2001,1-2009,https://www.bfro.net/GDB/show_county_reports.asp?state=al&county=Lowndes
Macon,1,5-2007,6-2007,https://www.bfro.net/GDB/show_county_reports.asp?state=al&county=Macon
Madison,3,2-2009,5-2009,https://www.bfro.net/GDB/show_county_reports.asp?state=al&county=Madison
Marengo,,,,
Marion,,,,
Marshall,1,8-1992,4-2007,https://www.bfro.net/GDB/show_county_reports.asp?state=al&county=Marshall
Mobile,1,2-2007,2-2007,https://www.bfro.net/GDB/show_county_reports.asp?state=al&county=Mobile
Monroe,1,2-2012,4-2013,https://www.bfro.net/GDB/show_county_reports.asp?state=al&county=Monroe
Montgomery,,,,
Morgan,5,3-2013,6-2013,https://www.bfro.net/GDB/show_county_reports.asp?state=al&county=Morgan
Perry,,,,
Pickens,2,9-2007,9-2007,https://www.bfro.net/GDB/show_county_reports.asp?state=al&county=Pickens
Pike,1,8-2007,8-2007,https://www.bfro.net/GDB/show_county_reports.asp?state=al&county=Pike
Randolph,,,,
Russell,1,9-1981,10-2000,https://www.bfro.net/GDB/show_county_reports.asp?state=al&county=Russell
Shelby,1,5-2004,5-2004,https://www.bfro.net/GDB/show_county_reports.asp?state=al&county=Shelby
St. Clair,3,7-2007,1-2008,https://www.bfro.net/GDB/show_county_reports.asp?state=al&county=St%2E+Clair
Sumter,,,,
Talladega,4,7-2014,10-2014,https://www.bfro.net/GDB/show_county_reports.asp?state=al&county=Talladega
Tallapoosa,1,3-2014,7-2014,https://www.bfro.net/GDB/show_county_reports.asp?state=al&county=Tallapoosa
Tuscaloosa,5,12-2014,6-2015,https://www.bfro.net/GDB/show_county_reports.asp?state=al&county=Tuscaloosa
Walker,4,3-2010,1-2014,https://www.bfro.net/GDB/show_county_reports.asp?state=al&county=Walker
Washington,3,4-2020,7-2020,https://www.bfro.net/GDB/show_county_reports.asp?state=al&county=Washington
Wilcox,1,8-2007,8-2007,https://www.bfro.net/GDB/show_county_reports.asp?state=al&county=Wilcox
Winston,2,12-2013,4-2014,https://www.bfro.net/GDB/show_county_reports.asp?state=al&county=Winston
Autauga,1,8-1985,12-1997,https://www.bfro.net/GDB/show_county_reports.asp?state=al&county=Autauga
Baldwin,2,11-2021,11-2021,https://www.bfro.net/GDB/show_county_reports.asp?state=al&county=Baldwin
Barbour,1,1-1980,2-2010,https://www.bfro.net/GDB/show_county_reports.asp?state=al&county=Barbour
Bibb,1,9-2007,9-2007,https://www.bfro.net/GDB/show_county_reports.asp?state=al&county=Bibb
Blount,4,4-2014,1-2016,https://www.bfro.net/GDB/show_county_reports.asp?state=al&county=Blount
Bullock,,,,
Butler,,,,
Calhoun,1,,4-1938,https://www.bfro.net/GDB/show_county_reports.asp?state=al&county=Calhoun
Cherokee,1,6-2014,1-2015,https://www.bfro.net/GDB/show_county_reports.asp?state=al&county=Cherokee
Chilton,5,10-2013,1-2014,https://www.bfro.net/GDB/show_county_reports.asp?state=al&county=Chilton
Choctaw,,,,
Clarke,4,7-2015,3-2016,https://www.bfro.net/GDB/show_county_reports.asp?state=al&county=Clarke
