Counties,# of Listings,Most Recent Report,Last Posted,Link
Madison,24,8-2017,4-2018,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Madison
Marion,2,10-1989,3-2005,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Marion
Marshall,1,8-2016,8-2016,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Marshall
Mason,,,,
Massac,4,5-2011,3-2013,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Massac
McDonough,4,3-2013,7-2013,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=McDonough
McHenry,3,1-2021,4-2021,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=McHenry
McLean,3,,2-2006,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=McLean
Menard,,,,
Mercer,,,,
Monroe,,,,
Montgomery,5,12-2012,3-2013,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Montgomery
Morgan,5,8-2006,11-2013,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Morgan
Moultrie,1,10-1999,6-2011,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Moultrie
Ogle,2,2-2010,5-2013,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Ogle
Peoria,6,10-2024,10-2024,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Peoria
Perry,2,10-2007,12-2012,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Perry
Piatt,1,1-2015,3-2015,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Piatt
Pike,1,11-2007,9-2008,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Pike
Pope,1,9-2007,9-2009,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Pope
Pulaski,2,11-2004,9-2008,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Pulaski
Putnam,1,11-1986,5-2010,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Putnam
Randolph,1,6-1973,2-2014,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Randolph
Richland,,,,
Rock Island,1,9-1969,9-2008,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Rock+Island
Saline,4,1-2009,1-2011,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Saline
Sangamon,13,9-2017,10-2017,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Sangamon
Schuyler,2,11-2010,5-2013,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Schuyler
Scott,,,,
Shelby,3,12-2014,12-2014,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Shelby
St. Clair,5,1-2016,2-2018,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=St%2E+Clair
Stark,,,,
Stephenson,1,10-2003,1-2009,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Stephenson
Tazewell,8,10-2016,2-2017,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Tazewell
Union,4,11-2015,3-2018,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Union
Vermilion,2,11-2015,2-2018,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Vermilion
Wabash,2,10-2013,8-2014,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Wabash
Warren,1,1-2015,3-2015,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Warren
Washington,4,11-2013,2-2018,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Washington
Wayne,,,,
White,2,10-2015,11-2015,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=White
Whiteside,6,2-2018,3-2022,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Whiteside
Will,3,1-2023,4-2023,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Will
Williamson,4,7-2006,10-2006,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Williamson
Winnebago,1,10-1994,7-2007,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Winnebago
Woodford,1,9-2009,8-2010,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Woodford
Adams,2,6-2013,8-2013,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Adams
Alexander,4,10-2011,5-2013,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Alexander
Bond,2,12-2011,1-2012,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Bond
Boone,,,,
Brown,1,,2-1922,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Brown
Bureau,,,,
Calhoun,2,5-1998,5-2014,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Calhoun
Carroll,,,,
Cass,2,11-2021,11-2021,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Cass
Champaign,2,10-1975,7-2013,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Champaign
Christian,4,3-2013,5-2013,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Christian
Clark,1,1-2013,2-2013,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Clark
Clay,,,,
Clinton,1,10-2007,1-2009,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Clinton
Coles,,,,
Cook,16,1-2017,3-2017,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Cook
Crawford,3,5-2014,9-2014,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Crawford
Cumberland,,,,
De Kalb,,,,
De Witt,2,6-2009,9-2010,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=De+Witt
Douglas,1,11-1964,10-2011,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Douglas
Du Page,4,1-2011,3-2011,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Du+Page
Edgar,1,1-2012,4-2013,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Edgar
Edwards,1,3-2000,5-2012,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Edwards
Effingham,1,,8-1972,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Effingham
Fayette,5,9-1998,3-2007,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Fayette
Ford,,,,
Franklin,5,11-2013,12-2013,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Franklin
Fulton,12,10-2010,2-2018,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Fulton
Gallatin,,,,
Greene,,,,
Grundy,4,6-2009,4-2011,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Grundy
Hamilton,,,,
Hancock,2,5-2001,4-2004,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Hancock
Hardin,4,6-2021,7-2021,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Hardin
Henderson,4,5-2014,4-2015,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Henderson
Henry,1,9-1999,12-2004,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Henry
Iroquois,1,9-2003,3-2009,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Iroquois
Jackson,20,10-2020,10-2020,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Jackson
Jasper,1,5-2000,3-2005,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Jasper
Jefferson,3,7-2020,8-2020,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Jefferson
Jersey,2,5-2008,11-2011,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Jersey
Jo Daviess,1,,7-1929,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Jo+Daviess
Johnson,1,10-1989,12-1996,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Johnson
Kane,4,2-2011,8-2011,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Kane
Kankakee,2,7-2011,10-2011,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Kankakee
Kendall,3,4-2024,6-2024,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Kendall
Knox,2,9-2014,11-2014,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Knox
La Salle,12,8-2015,12-2017,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=La+Salle
Lake,2,3-2013,5-2013,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Lake
Lawrence,3,1-2017,3-2017,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Lawrence
County,# ofListings,MostRecentReport,LastPosted,
Lee,2,6-2003,4-2005,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Lee
Livingston,1,10-1977,12-2012,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Livingston
Logan,2,10-2004,10-2011,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Logan
Macon,4,12-2012,1-2013,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Macon
Macoupin,15,1-2017,2-2017,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Macoupin
Madison,24,8-2017,4-2018,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Madison
Marion,2,10-1989,3-2005,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Marion
Marshall,1,8-2016,8-2016,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Marshall
Mason,,,,
Massac,4,5-2011,3-2013,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Massac
McDonough,4,3-2013,7-2013,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=McDonough
McHenry,3,1-2021,4-2021,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=McHenry
McLean,3,,2-2006,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=McLean
Menard,,,,
Mercer,,,,
Monroe,,,,
Montgomery,5,12-2012,3-2013,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Montgomery
Morgan,5,8-2006,11-2013,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Morgan
Moultrie,1,10-1999,6-2011,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Moultrie
Ogle,2,2-2010,5-2013,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Ogle
Peoria,6,10-2024,10-2024,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Peoria
Perry,2,10-2007,12-2012,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Perry
Piatt,1,1-2015,3-2015,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Piatt
Pike,1,11-2007,9-2008,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Pike
Pope,1,9-2007,9-2009,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Pope
Pulaski,2,11-2004,9-2008,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Pulaski
Putnam,1,11-1986,5-2010,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Putnam
Randolph,1,6-1973,2-2014,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Randolph
Richland,,,,
Rock Island,1,9-1969,9-2008,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Rock+Island
Saline,4,1-2009,1-2011,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Saline
Sangamon,13,9-2017,10-2017,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Sangamon
Schuyler,2,11-2010,5-2013,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Schuyler
Scott,,,,
Shelby,3,12-2014,12-2014,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Shelby
St. Clair,5,1-2016,2-2018,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=St%2E+Clair
Stark,,,,
Stephenson,1,10-2003,1-2009,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Stephenson
Tazewell,8,10-2016,2-2017,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Tazewell
Union,4,11-2015,3-2018,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Union
Vermilion,2,11-2015,2-2018,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Vermilion
Wabash,2,10-2013,8-2014,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Wabash
Warren,1,1-2015,3-2015,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Warren
Washington,4,11-2013,2-2018,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Washington
Wayne,,,,
White,2,10-2015,11-2015,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=White
Whiteside,6,2-2018,3-2022,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Whiteside
Will,3,1-2023,4-2023,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Will
Williamson,4,7-2006,10-2006,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Williamson
Winnebago,1,10-1994,7-2007,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Winnebago
Woodford,1,9-2009,8-2010,https://www.bfro.net/GDB/show_county_reports.asp?state=il&county=Woodford
Adams,,,,
Allen,,,,
Bartholomew,3,7-2006,9-2006,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Bartholomew
Benton,,,,
Blackford,1,9-1979,6-1998,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Blackford
Boone,1,12-1977,2-1998,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Boone
Brown,5,5-2020,9-2020,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Brown
Carroll,,,,
Cass,,,,
Clark,1,7-1998,7-1999,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Clark
Clay,,,,
Clinton,,,,
Crawford,1,6-2004,2-2005,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Crawford
Daviess,,,,
De Kalb,,,,
Dearborn,2,8-1984,5-2009,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Dearborn
Decatur,1,6-1977,5-2011,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Decatur
Delaware,,,,
Dubois,,,,
Elkhart,1,5-2008,6-2008,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Elkhart
Fayette,,,,
Floyd,2,10-2010,9-2011,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Floyd
Fountain,2,11-1997,6-1999,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Fountain
Franklin,,,,
Fulton,,,,
Gibson,,,,
Grant,1,7-1975,1-2010,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Grant
Greene,,,,
Hamilton,2,9-1973,2-2005,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Hamilton
Hancock,,,,
Harrison,3,1-2005,12-2014,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Harrison
Hendricks,,,,
Henry,1,10-1975,5-2011,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Henry
Howard,,,,
Huntington,2,7-2002,5-2011,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Huntington
Jackson,,,,
Jasper,,,,
Jay,,,,
Jefferson,1,10-1999,2-2001,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Jefferson
Jennings,2,8-2001,11-2001,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Jennings
Johnson,1,5-2002,12-2005,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Johnson
Knox,1,,10-1981,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Knox
Kosciusko,2,1-2005,2-2005,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Kosciusko
La Porte,2,10-2008,3-2010,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=La+Porte
Lagrange,,,,
Lake,,,,
County,# ofListings,MostRecentReport,LastPosted,
Lawrence,1,10-1981,12-2001,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Lawrence
Madison,,,,
Marion,,,,
Marshall,,,,
Martin,1,8-2018,5-2020,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Martin
Miami,,,,
Monroe,8,10-2009,7-2012,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Monroe
Montgomery,1,7-2009,7-2010,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Montgomery
Morgan,3,5-2012,3-2014,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Morgan
Newton,,,,
Noble,,,,
Ohio,1,,5-1980,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Ohio
Orange,,,,
Owen,1,9-1998,9-1998,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Owen
Parke,2,10-2000,3-2009,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Parke
Perry,2,6-1981,3-2009,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Perry
Pike,,,,
Porter,,,,
Posey,,,,
Pulaski,2,1-2005,1-2005,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Pulaski
Putnam,2,12-2008,9-2009,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Putnam
Randolph,,,,
Ripley,,,,
Rush,,,,
Scott,1,10-1992,12-2008,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Scott
Shelby,1,1-2005,1-2005,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Shelby
Spencer,2,9-2008,11-2015,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Spencer
St. Joseph,1,11-2000,3-2001,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=St%2E+Joseph
Starke,,,,
Steuben,1,11-2013,4-2013,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Steuben
Sullivan,1,8-1978,2-1998,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Sullivan
Switzerland,,,,
Tippecanoe,1,7-2010,2-2011,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Tippecanoe
Tipton,,,,
Union,,,,
Vanderburgh,1,8-1980,4-2000,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Vanderburgh
Vermillion,2,10-1988,4-2001,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Vermillion
Vigo,,,,
Wabash,,,,
Warren,,,,
Warrick,2,7-2006,8-2006,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Warrick
Washington,5,6-2020,6-2020,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Washington
Wayne,1,8-1989,8-2001,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Wayne
Wells,1,7-1990,12-2006,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Wells
White,,,,
Whitley,,,,
Adams,,,,
Allen,,,,
Bartholomew,3,7-2006,9-2006,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Bartholomew
Benton,,,,
Blackford,1,9-1979,6-1998,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Blackford
Boone,1,12-1977,2-1998,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Boone
Brown,5,5-2020,9-2020,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Brown
Carroll,,,,
Cass,,,,
Clark,1,7-1998,7-1999,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Clark
Clay,,,,
Clinton,,,,
Crawford,1,6-2004,2-2005,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Crawford
Daviess,,,,
De Kalb,,,,
Dearborn,2,8-1984,5-2009,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Dearborn
Decatur,1,6-1977,5-2011,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Decatur
Delaware,,,,
Dubois,,,,
Elkhart,1,5-2008,6-2008,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Elkhart
Fayette,,,,
Floyd,2,10-2010,9-2011,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Floyd
Fountain,2,11-1997,6-1999,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Fountain
Franklin,,,,
Fulton,,,,
Gibson,,,,
Grant,1,7-1975,1-2010,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Grant
Greene,,,,
Hamilton,2,9-1973,2-2005,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Hamilton
Hancock,,,,
Harrison,3,1-2005,12-2014,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Harrison
Hendricks,,,,
Henry,1,10-1975,5-2011,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Henry
Howard,,,,
Huntington,2,7-2002,5-2011,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Huntington
Jackson,,,,
Jasper,,,,
Jay,,,,
Jefferson,1,10-1999,2-2001,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Jefferson
Jennings,2,8-2001,11-2001,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Jennings
Johnson,1,5-2002,12-2005,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Johnson
Knox,1,,10-1981,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Knox
Kosciusko,2,1-2005,2-2005,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Kosciusko
La Porte,2,10-2008,3-2010,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=La+Porte
Lagrange,,,,
Lake,,,,
County,# ofListings,MostRecentReport,LastPosted,
Lawrence,1,10-1981,12-2001,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Lawrence
Madison,,,,
Marion,,,,
Marshall,,,,
Martin,1,8-2018,5-2020,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Martin
Miami,,,,
Monroe,8,10-2009,7-2012,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Monroe
Montgomery,1,7-2009,7-2010,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Montgomery
Morgan,3,5-2012,3-2014,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Morgan
Newton,,,,
Noble,,,,
Ohio,1,,5-1980,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Ohio
Orange,,,,
Owen,1,9-1998,9-1998,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Owen
Parke,2,10-2000,3-2009,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Parke
Perry,2,6-1981,3-2009,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Perry
Pike,,,,
Porter,,,,
Posey,,,,
Pulaski,2,1-2005,1-2005,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Pulaski
Putnam,2,12-2008,9-2009,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Putnam
Randolph,,,,
Ripley,,,,
Rush,,,,
Scott,1,10-1992,12-2008,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Scott
Shelby,1,1-2005,1-2005,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Shelby
Spencer,2,9-2008,11-2015,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Spencer
St. Joseph,1,11-2000,3-2001,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=St%2E+Joseph
Starke,,,,
Steuben,1,11-2013,4-2013,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Steuben
Sullivan,1,8-1978,2-1998,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Sullivan
Switzerland,,,,
Tippecanoe,1,7-2010,2-2011,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Tippecanoe
Tipton,,,,
Union,,,,
Vanderburgh,1,8-1980,4-2000,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Vanderburgh
Vermillion,2,10-1988,4-2001,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Vermillion
Vigo,,,,
Wabash,,,,
Warren,,,,
Warrick,2,7-2006,8-2006,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Warrick
Washington,5,6-2020,6-2020,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Washington
Wayne,1,8-1989,8-2001,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Wayne
Wells,1,7-1990,12-2006,https://www.bfro.net/GDB/show_county_reports.asp?state=in&county=Wells
White,,,,
Whitley,,,,
Allen,,,,
Anderson,,,,
Atchison,,,,
Barber,,,,
Barton,,,,
Bourbon,2,8-2001,5-2005,https://www.bfro.net/GDB/show_county_reports.asp?state=ks&county=Bourbon
Brown,,,,
Butler,,,,
Chase,,,,
Chautauqua,,,,
Cherokee,1,6-1995,3-2019,https://www.bfro.net/GDB/show_county_reports.asp?state=ks&county=Cherokee
Cheyenne,,,,
Clark,,,,
Clay,,,,
Cloud,,,,
Coffey,1,11-1974,4-2005,https://www.bfro.net/GDB/show_county_reports.asp?state=ks&county=Coffey
Comanche,,,,
Cowley,,,,
Crawford,3,6-1982,4-2005,https://www.bfro.net/GDB/show_county_reports.asp?state=ks&county=Crawford
Decatur,,,,
Dickinson,,,,
Doniphan,,,,
Douglas,1,1-2005,2-2005,https://www.bfro.net/GDB/show_county_reports.asp?state=ks&county=Douglas
Edwards,,,,
Elk,,,,
Ellis,,,,
Ellsworth,,,,
Finney,,,,
Ford,,,,
Franklin,,,,
Geary,1,7-1980,5-1998,https://www.bfro.net/GDB/show_county_reports.asp?state=ks&county=Geary
Gove,,,,
Graham,,,,
Grant,,,,
Gray,,,,
Greeley,,,,
Greenwood,,,,
Hamilton,,,,
Harper,,,,
Harvey,,,,
Haskell,,,,
Hodgeman,,,,
Jackson,3,10-2014,9-2020,https://www.bfro.net/GDB/show_county_reports.asp?state=ks&county=Jackson
Jefferson,1,2-2005,3-2005,https://www.bfro.net/GDB/show_county_reports.asp?state=ks&county=Jefferson
Jewell,,,,
Johnson,1,7-2013,3-2017,https://www.bfro.net/GDB/show_county_reports.asp?state=ks&county=Johnson
Kearny,,,,
Kingman,4,5-2021,5-2021,https://www.bfro.net/GDB/show_county_reports.asp?state=ks&county=Kingman
Kiowa,,,,
Labette,1,2-1978,5-1998,https://www.bfro.net/GDB/show_county_reports.asp?state=ks&county=Labette
Lane,,,,
Leavenworth,1,1-2005,1-2005,https://www.bfro.net/GDB/show_county_reports.asp?state=ks&county=Leavenworth
Lincoln,,,,
County,# ofListings,MostRecentReport,LastPosted,
Linn,,,,
Logan,,,,
Lyon,,,,
Marion,,,,
Marshall,,,,
McPherson,1,3-2014,9-2014,https://www.bfro.net/GDB/show_county_reports.asp?state=ks&county=McPherson
Meade,,,,
Miami,2,10-1998,2-2020,https://www.bfro.net/GDB/show_county_reports.asp?state=ks&county=Miami
Mitchell,1,8-2017,1-2019,https://www.bfro.net/GDB/show_county_reports.asp?state=ks&county=Mitchell
Montgomery,1,11-1977,1-1998,https://www.bfro.net/GDB/show_county_reports.asp?state=ks&county=Montgomery
Morris,1,8-2009,3-2010,https://www.bfro.net/GDB/show_county_reports.asp?state=ks&county=Morris
Morton,,,,
Nemaha,,,,
Neosho,2,5-2010,7-2010,https://www.bfro.net/GDB/show_county_reports.asp?state=ks&county=Neosho
Ness,,,,
Norton,,,,
Osage,1,8-1984,3-2010,https://www.bfro.net/GDB/show_county_reports.asp?state=ks&county=Osage
Osborne,,,,
Ottawa,1,5-2011,12-2012,https://www.bfro.net/GDB/show_county_reports.asp?state=ks&county=Ottawa
Pawnee,,,,
Phillips,,,,
Pottawatomie,,,,
Pratt,1,6-2012,10-2012,https://www.bfro.net/GDB/show_county_reports.asp?state=ks&county=Pratt
Rawlins,,,,
Reno,,,,
Republic,,,,
Rice,1,4-2009,2-2013,https://www.bfro.net/GDB/show_county_reports.asp?state=ks&county=Rice
Riley,2,7-2011,12-2012,https://www.bfro.net/GDB/show_county_reports.asp?state=ks&county=Riley
Rooks,1,11-2014,3-2015,https://www.bfro.net/GDB/show_county_reports.asp?state=ks&county=Rooks
Rush,,,,
